z,ra,dec,r,grModelColor
0.1035444,189.7269843,66.02640131,17.14723,0.7421627
0.1199684,131.9699386,51.71005896,17.49801,0.77665138
0.1109127,256.4344967,58.53894691,16.5955,1.02425766
0.1075536,257.9099026,60.29593487,16.61173,0.86639786
0.1065817,259.038236,60.17981212,17.36693,0.61791992
0.1183007,129.8625725,49.27368166,17.40421,1.05897903
0.1004212,55.83199633,0.89083361,16.66085,0.98544693
0.1062404,58.2977162,0.86446688,19.57097,0.6033535
0.1051184,82.13889424,1.06307163,18.67888,0.64127541
0.114976,233.4265455,-0.38278247,17.83698,1.11654854
0.1078505,200.6778635,0.15933159,15.47697,1.02655315
0.1100441,184.6478685,-3.08089949,16.99074,0.94075203
0.1102422,187.8564497,66.1268524,16.24469,0.9084816
0.115179,132.308073,51.38810039,17.36909,0.75675583
0.1174899,125.546674,47.11693095,16.69336,0.51105881
0.1022309,257.2722234,60.69743497,17.63924,0.49539566
0.1063378,240.11893,-0.23041218,17.47774,0.68509483
0.1087538,189.3998016,0.15012005,17.64609,0.74927521
0.101529,204.9985122,0.06634058,17.15812,0.90344429
0.1031074,21.06406787,14.03851822,17.4626,0.91491127
0.1125693,24.05748246,13.96822214,16.04161,1.03104019
0.1064652,24.97091996,13.83052609,17.44014,0.73911667
0.1044022,173.0434053,-2.57524794,16.99668,0.98265648
0.1014671,177.265915,-2.67309005,17.64303,0.62822151
0.1015885,177.2984568,-2.66604846,16.0019,0.90408325
0.1026723,178.0401799,-1.59643561,17.41007,0.96919823
0.1156015,158.9348392,62.88108696,17.2701,0.95218086
0.1195722,129.9276319,50.95381144,17.34693,1.0149231
0.106101,137.7286698,56.74970384,17.52538,1.01071167
0.112518,256.9135041,58.48064351,16.37683,1.02781677
0.1071909,257.1214827,60.69659305,16.26608,1.01069641
0.1086823,257.2156662,60.43380052,17.12778,0.73690796
0.1179541,260.9858252,54.47915002,17.72448,0.68543816
0.1170317,158.4436134,61.47487861,17.10819,0.99635696
0.1024786,232.1208999,54.2206461,16.61341,0.69144249
0.1172042,129.8712164,50.15644839,16.71897,1.0847435
0.1174241,129.2293312,50.10963909,16.84352,1.05351448
0.1133451,211.3638476,1.04538775,17.0613,0.6470871
0.1185239,218.7092654,0.91497599,17.75109,0.89540291
0.1146671,229.6295153,0.89608557,17.47116,1.13603592
0.1142728,231.5833946,0.86828195,17.63608,1.01085091
0.1062152,173.0671449,-3.31792561,17.37138,0.99086571
0.101873,177.086675,-3.43692742,17.05067,0.58051872
0.1105086,183.2562694,-3.03140976,17.25215,0.94376755
0.1136911,130.5321812,52.66779149,16.66558,0.88573265
0.116821,155.9241751,63.88253777,16.59376,1.02160072
0.1187804,166.8757642,66.11481743,16.57721,1.00087547
0.1058908,200.8162717,1.00627792,16.68049,0.89122581
0.1086854,184.1724321,-3.08344734,17.12831,0.70552635
0.1181057,189.2987462,-1.36823763,17.37029,1.0102005
0.1118875,192.4168583,64.81501591,16.61622,0.96818924
