z,ra,dec,r,grModelColor
0.4223879,193.4871636,-1.52106963,19.29756,1.79957962
0.4131102,145.0327305,-0.41242342,20.14752,1.58180237
0.454208,146.8429087,-0.39088394,20.01732,1.88188744
0.4715282,134.7292238,0.45974033,20.13714,1.86281204
0.451574,130.2693399,0.97720503,20.89609,1.46119499
0.4974511,160.8319384,-2.55772709,20.15066,1.73724937
0.4039663,160.9851641,-2.69538559,21.10413,0.97069931
0.4068595,162.444857,-2.65879453,20.23132,1.49326134
0.4598832,163.1948616,-2.63874555,20.72936,1.58773041
0.451643,165.8939066,-2.71365093,20.12874,1.82329369
0.4943719,186.111122,-0.75929436,21.20883,1.53120422
0.4951005,187.5967108,-0.72025248,20.35772,1.41859818
0.4457864,192.5053204,-0.64589968,19.29673,1.65756607
0.4205159,192.7293862,-0.64317874,19.13383,1.79338074
0.4951853,199.5184648,-0.70489927,20.3685,1.74902534
0.4115392,201.1354506,-0.67941231,19.26202,1.98499107
0.4212309,207.8014542,-0.66742637,19.29395,1.86571884
0.4907746,210.186391,-0.81892612,19.6013,1.61957169
0.4222114,216.685946,-0.7165747,19.42034,1.75503922
0.4511071,226.7938074,-0.81338614,20.15795,1.64292336
0.4517427,226.7927379,-0.80760038,20.52383,1.79810143
0.4498797,228.6425041,-0.77227813,20.7801,1.81194878
0.4982309,231.860482,-0.74474512,20.7182,1.9594593
0.403097,233.5889422,-0.72864657,19.68744,1.94276237
0.4931148,245.1517668,-0.77305308,19.47257,2.06991005
0.4356771,182.9956067,-0.38485198,18.60215,1.62126732
0.4885281,186.133577,-0.26582768,20.54966,1.68507957
0.4431003,194.6424661,-0.31462324,20.24119,1.56860733
0.4269639,212.7727453,-0.21925084,20.1113,1.60381508
0.4991803,194.7163014,0.10491256,19.65215,1.84216499
0.4956922,199.6604565,0.12022154,20.5776,1.63407135
0.4778591,204.2600235,0.08602653,20.46075,1.74947929
0.468869,204.7842527,0.10056642,20.12947,1.44134331
0.4659195,208.6805683,0.13696069,20.52479,1.56632805
0.4876109,212.3387726,0.10219243,20.7387,1.71947289
0.4613074,216.9663417,0.01178296,19.67449,1.86633873
0.4754745,226.9915462,0.13414392,19.76675,1.71595573
0.4871912,230.9018615,0.13305044,20.52838,2.26523781
0.4584958,182.9980096,0.59027867,19.0565,1.77212715
0.4635818,226.7486691,0.49259281,19.8213,1.79284668
0.4859958,245.7594771,0.43354212,19.37895,1.8548851
0.4887293,216.0549674,-0.06294422,20.57603,1.76703072
0.4318634,119.9320018,0.36463626,19.4726,1.85559845
0.4391335,134.4656935,0.35558361,19.85531,1.69485664
0.4737572,134.7481281,0.38421821,19.3487,1.98052597
0.4797999,138.3383641,0.2587843,20.34468,1.32836533
0.4954722,150.2406968,0.24011634,20.36166,1.89858437
0.47934,162.1296917,0.29931447,20.40422,1.4212513
0.484981,162.2545674,1.16812266,19.66349,1.80582047
0.4278616,168.9422163,1.09875739,19.36893,1.78524971
0.462969,170.9177639,1.1841636,20.25742,1.43238258
0.4856603,186.8486029,1.10518637,20.2251,1.77767944
0.4175709,15.66664695,13.58282101,20.07425,1.65227509
0.4035293,13.17309877,14.17108041,19.24611,1.73570442
0.4271134,15.67982502,14.03132054,20.10536,1.35084915
0.4134854,162.7743594,-2.91048424,20.1477,1.2820549
0.4475215,164.68222,-2.38706279,19.04122,1.77980804
0.4022309,164.8907556,-2.46489252,18.21725,1.74219322
0.4693156,164.8202131,-2.3520242,20.56189,1.90741348
0.4185917,163.1680543,-1.97501386,19.19386,1.63951683
0.4306928,167.6431688,-2.02821433,18.7989,1.68094826
0.4853576,183.6721117,-0.64341603,20.83207,1.61083603
0.4974746,194.5558723,-0.82554776,20.50773,1.65272713
0.4320894,204.8989609,-0.80999073,20.83634,1.61166763
0.4162139,207.5296258,-0.68054963,19.12084,1.89723206
0.4029565,218.4578453,-0.70220985,19.2876,1.80379677
0.4216684,197.2278557,-0.32764478,19.52862,1.78549576
0.452852,195.1538166,1.02415511,19.57522,1.93944359
0.4646672,165.9175289,-0.90476469,19.83609,1.76716423
0.4470931,168.3157129,-0.8770931,20.46528,1.78541756
0.4757359,187.5096844,-1.01757383,20.23142,1.38188553
0.4207489,192.8030476,-0.87507473,19.97951,1.6060524
0.4027363,159.4499803,1.21312062,18.82929,1.78622627
0.4256564,162.1182776,1.23885561,19.42309,1.90889549
0.494662,163.5911985,1.09431455,20.54353,1.47132301
0.436491,23.17742398,-2.87370929,19.31489,1.8379879
0.4922639,21.240547,13.30363492,20.21429,2.06256485
0.4828639,10.92014698,14.26448385,19.79277,1.85933685
0.4730455,20.78855154,13.65317536,21.01266,1.76085281
0.4181448,168.2156271,-2.97923743,19.24568,1.64980698
0.4811682,161.3054303,-2.45783604,19.55479,1.54017258
0.4095794,163.9494302,-2.54231806,18.65034,1.90491867
0.4422422,164.8424495,-2.02960014,20.40571,2.48766327
