Time [s],Loss of capacity to negative SEI [A.h],Loss of capacity to positive SEI [A.h],Loss of capacity to positive SEI on cracks [A.h],Loss of capacity to positive lithium plating [A.h]
256673.43345183405,0.0026770712344752487,0.001565127421858467,0.0029976379856202356,8.510921341305179e-05
256733.43345183405,0.002677758403308193,0.001565127421873402,0.0029976379856484926,8.510921341305113e-05
256766.195792029,0.002678133623235099,0.0015651274218749338,0.00299763798565139,8.510921341305088e-05
256766.19579202903,0.002678133623235099,0.0015651274218749338,0.00299763798565139,8.510921341305088e-05
256826.195792029,0.0026786913771840656,0.001565127424752258,0.002997637991190625,8.510921348145327e-05
256886.195792029,0.0026792498905574493,0.0015651274578919565,0.002997638054988702,8.51092160571436e-05
256946.195792029,0.0026798084126777675,0.0015651276053679055,0.0029976383389019455,8.51092385059781e-05
257006.195792029,0.0026803669337278737,0.0015651279063627378,0.0029976389183504217,8.510932656558261e-05
257066.195792029,0.0026809254657302207,0.001565128626245851,0.002997640304217085,8.510972931557768e-05
257126.195792029,0.0026814839800590132,0.0015651298582626434,0.0029976426760286914,8.511041440342363e-05
257186.195792029,0.0026820424951306643,0.0015651316499895665,0.0029976461253510395,8.5111633595687e-05
257246.195792029,0.00268260102206691,0.0015651342431556026,0.002997651117496381,8.511440891586768e-05
257306.195792029,0.0026831595484406593,0.0015651380703672066,0.0029976584853740325,8.511977311775692e-05
257366.195792029,0.0026837180831625093,0.0015651435077195875,0.0029976689528421747,8.513094979955824e-05
257426.195792029,0.0026842765705632227,0.0015651506276663446,0.0029976826601565854,8.513988709747309e-05
257486.195792029,0.0026848351179876574,0.0015651593412903527,0.0029976994343341723,8.516314865028205e-05
257546.195792029,0.0026853936561784687,0.0015651720875673918,0.0029977239724585576,8.521387007968269e-05
257606.195792029,0.002685952185227198,0.001565188772718439,0.002997756093321232,8.528273002494211e-05
257666.195792029,0.0026865107094887716,0.001565210157272733,0.0029977972612681677,8.538368545014373e-05
257726.195792029,0.002687069240444209,0.001565237191193559,0.0029978493045066073,8.553943861730817e-05
257786.195792029,0.002687627785273198,0.0015652725064314041,0.002997917289108106,8.582599889405907e-05
257812.78482031228,0.0026878753155999122,0.0015652924382746885,0.0029979556586045442,8.605505513286457e-05
257812.7848203123,0.0026878753155999122,0.0015652924382746885,0.0029979556586045442,8.605505513286457e-05
257872.78482031228,0.0026885613218039167,0.0015652967320691066,0.00299796378268777,8.51164101515789e-05
257932.78482031228,0.00268924836382174,0.0015652995123002257,0.0029979690430953078,8.511271946626519e-05
257992.78482031228,0.00268993544287659,0.0015653015031944694,0.0029979728099692633,8.511111765865778e-05
258052.78482031228,0.002690622549823342,0.001565302846061726,0.0029979753507084895,8.510994351318346e-05
258112.78482031228,0.0026913096480835354,0.0015653038092527634,0.0029979771731059365,8.510983650652021e-05
258172.78482031228,0.002691996787479933,0.0015653045824615304,0.002997978636007822,8.510952860333125e-05
258232.78482031228,0.0026926839312934226,0.0015653050967169482,0.0029979796089757743,8.510941064087057e-05
258292.78482031228,0.002693371088750211,0.0015653054351713776,0.0029979802493246164,8.510934484186142e-05
258352.78482031228,0.0026940582441296133,0.0015653056560013092,0.0029979806671310205,8.510932054685006e-05
258412.78482031228,0.0026947454056515225,0.0015653058021507984,0.0029979809436420997,8.510930902193959e-05
258472.78482031228,0.002695432584834178,0.001565305887952036,0.0029979811059740883,8.510930298020003e-05
258532.78482031228,0.0026961197719413727,0.001565305923357077,0.0029979811729587452,8.510930130739531e-05
258592.78482031228,0.0026968069409139903,0.0015653059399514018,0.0029979812043546363,8.51093010721423e-05
258652.78482031228,0.0026974941312403753,0.0015653059448051173,0.0029979812135376115,8.510930101682448e-05
258712.78482031228,0.002698181313659804,0.0015653059458394505,0.0029979812154945253,8.510930101418603e-05
258772.78482031228,0.002698868491915336,0.0015653059459482897,0.0029979812157004426,8.51093010140476e-05
258832.78482031228,0.0026995556626180357,0.0015653059459603737,0.0029979812157233084,8.510930101413445e-05
258858.05256366875,0.0026998450494695957,0.0015653059459614423,0.0029979812157253302,8.510930101412948e-05
258858.05256366878,0.0026998450494695957,0.0015653059459614423,0.0029979812157253302,8.510930101412948e-05
258918.05256366875,0.002700402801697753,0.001565305948985323,0.002997981221546704,8.510930108882611e-05
258978.05256366875,0.002700961313264209,0.001565305983204716,0.002997981287423451,8.510930385228277e-05
259038.05256366875,0.0027015198328845646,0.0015653061336106085,0.00299798157697802,8.510932657145616e-05
259098.05256366875,0.002702078352959077,0.0015653064400467532,0.002997982166902459,8.510941929865016e-05
259158.05256366875,0.0027026368826010994,0.0015653071713105024,0.0029979835746817957,8.510982869931192e-05
259218.05256366875,0.002703195394963787,0.0015653084146508454,0.0029979859682978116,8.511052129210152e-05
259278.05256366875,0.002703753908371154,0.0015653102204821702,0.0029979894447795447,8.51117588813107e-05
259338.05256366875,0.002704312433812472,0.0015653128365326757,0.002997994480989387,8.511459076508676e-05
259398.05256366875,0.0027048709580770394,0.0015653166933359787,0.0029980019058508515,8.512000344630891e-05
259458.05256366875,0.0027054294912796147,0.0015653221764208693,0.002998012461384274,8.51313700415578e-05
259518.05256366875,0.002705987975882208,0.0015653293177280382,0.0029980262098453533,8.514011884689947e-05
259578.05256366875,0.002706546523272986,0.001565338102635267,0.0029980431212753675,8.516427776919497e-05
259638.05256366875,0.0027071050587188046,0.0015653509342433928,0.002998067823730909,8.521512538910682e-05
259698.05256366875,0.002707663586013665,0.0015653677169788788,0.002998100132523413,8.528471027356767e-05
259758.05256366875,0.0027082221084354322,0.0015653892115691775,0.0029981415123837814,8.53864193215734e-05
259818.05256366875,0.0027087806378339944,0.0015654163927426839,0.002998193839195276,8.554398126940832e-05
259878.05256366875,0.0027093391814231385,0.0015654519454361528,0.0029982622810072307,8.583524367711974e-05
259897.2483908688,0.0027095178839314014,0.0015654660920671262,0.002998289513811063,8.599355926082767e-05
259897.24839086883,0.0027095178839314014,0.0015654660920671262,0.002998289513811063,8.599355926082767e-05
259957.2483908688,0.0027102038924158695,0.001565470265193926,0.002998297409604581,8.511610643271755e-05
260017.2483908688,0.002710890935255714,0.0015654729670486053,0.0029983025217316813,8.511258593261155e-05
260077.2483908688,0.0027115780159192005,0.001565474899989273,0.002998306178962539,8.51110774689449e-05
260137.2483908688,0.0027122651242028452,0.001565476175791709,0.002998308592820253,8.510997988430746e-05
260197.2483908688,0.0027129522232210265,0.0015654771318980047,0.002998310401814912,8.51098974666829e-05
260257.2483908688,0.0027136393669703923,0.0015654778716433799,0.0029983118014078724,8.510959449845852e-05
260317.2483908688,0.0027143265126145467,0.0015654783672842528,0.0029983127391587064,8.510948382412437e-05
260377.2483908688,0.002715013671522718,0.0015654786904766346,0.00299831335063375,8.510942417813369e-05
260437.2483908688,0.0027157008286325807,0.0015654789024918134,0.002998313751763637,8.510940187863255e-05
260497.2483908688,0.0027163879930818553,0.0015654790421678524,0.002998314016027507,8.510939109643265e-05
260557.2483908688,0.002717075176433644,0.0015654791221076424,0.0029983141672700457,8.510938549843005e-05
260617.2483908688,0.0027177623624576193,0.0015654791542134327,0.002998314228012957,8.510938416466717e-05
260677.2483908688,0.0027184495369006107,0.0015654791695471739,0.0029983142570238538,8.510938394216491e-05
260737.2483908688,0.0027191367273349983,0.0015654791736838224,0.002998314264850203,8.510938390223569e-05
260797.2483908688,0.002719823912573113,0.0015654791745441689,0.002998314266477941,8.510938390022857e-05
260857.2483908688,0.0027205110917684944,0.0015654791746294592,0.00299831426663931,8.510938390003175e-05
260917.2483908688,0.0027211982643784356,0.0015654791746392916,0.002998314266657911,8.510938390019916e-05
260935.13315107298,0.002721403095908911,0.0015654791746399811,0.0029983142666592157,8.51093839001983e-05
260935.133151073,0.002721403095908911,0.0015654791746399811,0.0029983142666592157,8.51093839001983e-05
260995.13315107298,0.0027219608464244542,0.0015654791778155095,0.0029983142727725443,8.510938398148436e-05
261055.13315107298,0.0027225193562079746,0.001565479213144482,0.0029983143407854955,8.510938694503434e-05
261115.13315107298,0.0027230778733351034,0.0015654793664452472,0.002998314635913899,8.510940992604323e-05
261175.13315107298,0.002723636392448744,0.0015654796784634675,0.0029983152365853343,8.510950748099398e-05
261235.13315107298,0.002724194919741335,0.0015654804210315544,0.0029983166661305266,8.510992339520188e-05
261295.13315107298,0.002724753430162052,0.0015654816756298815,0.002998319081424764,8.511062355641634e-05
261355.13315107298,0.002725311941922899,0.0015654834955682456,0.002998322585070993,8.511187982711122e-05
261415.13315107298,0.002725870465875329,0.001565486134595311,0.002998327665522787,8.511476875457123e-05
261475.13315107298,0.002726428988055273,0.0015654900208139193,0.0029983351470283916,8.512023028166343e-05
261535.13315107298,0.0027269875196991463,0.001565495549498636,0.002998345790372877,8.513177836750478e-05
261595.13315107298,0.0027275460016294105,0.0015655027115568185,0.002998359578805486,8.514034864119728e-05
