Time [h],Silicon Avg Vol J [A/m3] (V_si=0.001),Silicon Avg Vol J [A/m3] (V_si=0.04),Silicon Avg Vol J [A/m3] (V_si=0.1)
2.32064,,,272330
2.32665,,,272445
2.33267,,,272561
2.33868,,,272677
2.34469,,,272795
2.3507,,,272913
2.35671,,,273032
2.36273,,,273149
2.36874,,,273268
2.37475,,,273385
2.38076,,,273502
2.38677,,,273619
2.39279,,,273735
2.3988,,,273850
2.40481,,,273964
2.41082,,,274077
2.41683,,,274190
2.42285,,,274302
2.42389,,,274321
2.42394,,,274322
