Time [h],Silicon OCP [V] (V_si=0.001),Silicon OCP [V] (V_si=0.04),Silicon OCP [V] (V_si=0.1)
1.9479,,0.449523,0.30879
1.95391,,0.452939,0.310168
1.95992,,0.456352,0.311563
1.96593,,0.459766,0.312976
1.97194,,0.463187,0.314405
1.97796,,0.46662,0.315851
1.98397,,0.47007,0.317312
1.98998,,0.473543,0.318788
1.99599,,0.477043,0.320279
2.002,,0.480578,0.321784
2.00802,,0.484152,0.323302
2.01403,,0.487773,0.324833
2.02004,,0.491445,0.326376
2.02605,,0.495176,0.327931
2.03206,,0.49897,0.329498
2.03808,,0.502835,0.331075
2.04409,,0.506777,0.332661
2.0501,,0.510801,0.334258
2.05611,,0.514914,0.335863
2.06212,,0.519122,0.337477
2.06814,,0.523432,0.339099
2.07415,,0.527849,0.340728
2.08016,,0.53238,0.342363
2.08617,,0.537032,0.344005
2.09218,,0.54181,0.345653
2.0982,,0.546722,0.347306
2.10421,,0.551774,0.348963
2.11022,,0.556974,0.350625
2.11623,,0.562328,0.35229
2.12224,,0.567844,0.353958
2.12826,,0.573531,0.35563
2.13427,,0.579397,0.357303
2.14028,,0.58545,0.358978
2.14629,,0.591702,0.360655
2.1523,,0.598163,0.362332
2.15832,,0.604846,0.36401
2.16433,,0.611763,0.365688
2.17034,,0.618927,0.367365
2.17635,,0.626353,0.369042
2.18236,,0.634056,0.370718
2.18838,,0.642052,0.372392
2.19439,,0.650359,0.374064
2.2004,,0.658996,0.375735
2.20641,,0.667984,0.377402
2.21242,,0.677351,0.379067
2.21844,,0.687129,0.380729
2.22445,,0.697353,0.382387
2.23046,,0.70806,0.384041
2.23647,,0.719285,0.385692
2.24248,,0.731065,0.387338
2.2485,,0.743436,0.38898
2.25451,,0.756439,0.390617
2.26052,,0.770114,0.39225
2.26653,,0.784504,0.393877
2.27255,,0.799652,0.395499
2.27414,,0.803816,
2.27856,,,0.397115
2.28457,,,0.398727
2.29058,,,0.400332
2.29659,,,0.401932
2.30261,,,0.403525
2.30862,,,0.405113
2.31463,,,0.406695
2.32064,,,0.408271
2.32665,,,0.40984
2.33267,,,0.411403
2.33868,,,0.41296
2.34469,,,0.414511
2.3507,,,0.416056
2.35671,,,0.417595
2.36273,,,0.419127
2.36874,,,0.420654
2.37475,,,0.422175
2.38076,,,0.423689
2.38677,,,0.425198
2.39279,,,0.426702
2.3988,,,0.4282
2.40481,,,0.429692
2.41082,,,0.43118
2.41683,,,0.432662
2.42285,,,0.434139
2.42389,,,0.434395
2.42394,,,0.434407
