Time [h],NMC811 OCP [V] (V_si=0.1),NMC811 OCP [V] (V_si=0.04),NMC811 OCP [V] (V_si=0.001)
1.60521,3.67696,3.67696,3.67696
1.61122,3.67557,3.67557,3.67557
1.61723,3.67417,3.67417,3.67417
1.62214,,,3.67304
1.62325,3.67278,3.67278,
1.62926,3.67139,3.67139,
1.63527,3.66999,3.66999,
1.64128,3.6686,3.6686,
1.64729,3.6672,3.6672,
1.65331,3.66581,3.66581,
1.65932,3.66442,3.66442,
1.66533,3.66302,3.66302,
1.67134,3.66163,3.66163,
1.67735,3.66023,3.66023,
1.68337,3.65884,3.65884,
1.68938,3.65745,3.65745,
1.69539,3.65605,3.65605,
1.7014,3.65466,3.65466,
1.70741,3.65327,3.65327,
1.71343,3.65187,3.65187,
1.71944,3.65048,3.65048,
1.72545,3.64909,3.64909,
1.73146,3.64769,3.64769,
1.73747,3.6463,3.6463,
1.74349,3.64491,3.64491,
1.7495,3.64352,3.64352,
1.75551,3.64212,3.64212,
1.76152,3.64073,3.64073,
1.76754,3.63934,3.63934,
1.77355,3.63794,3.63794,
1.77956,3.63655,3.63655,
1.78557,3.63516,3.63516,
1.79158,3.63377,3.63377,
1.7976,3.63237,3.63237,
1.80361,3.63098,3.63098,
1.80962,3.62959,3.62959,
1.81563,3.62819,3.62819,
1.82164,3.6268,3.6268,
1.82766,3.62541,3.62541,
1.83367,3.62402,3.62402,
1.83968,3.62262,3.62262,
1.84569,3.62123,3.62123,
1.8517,3.61984,3.61984,
1.85772,3.61844,3.61844,
1.86373,3.61705,3.61705,
1.86974,3.61566,3.61566,
1.87575,3.61427,3.61427,
1.88176,3.61287,3.61287,
1.88778,3.61148,3.61148,
1.89379,3.61009,3.61009,
1.8998,3.6087,3.6087,
1.90581,3.6073,3.6073,
1.91182,3.60591,3.60591,
1.91784,3.60452,3.60452,
1.92385,3.60313,3.60313,
1.92986,3.60173,3.60173,
1.93587,3.60034,3.60034,
1.94188,3.59895,3.59895,
1.9479,3.59756,3.59756,
1.95391,3.59616,3.59616,
1.95992,3.59477,3.59477,
1.96593,3.59338,3.59338,
1.97194,3.59198,3.59198,
1.97796,3.59059,3.59059,
1.98397,3.5892,3.5892,
1.98998,3.58781,3.58781,
1.99599,3.58641,3.58641,
2.002,3.58502,3.58502,
2.00802,3.58363,3.58363,
2.01403,3.58224,3.58224,
2.02004,3.58084,3.58084,
2.02605,3.57945,3.57945,
2.03206,3.57806,3.57806,
2.03808,3.57667,3.57667,
2.04409,3.57527,3.57527,
2.0501,3.57388,3.57388,
2.05611,3.57249,3.57249,
2.06212,3.5711,3.5711,
2.06814,3.5697,3.5697,
2.07415,3.56831,3.56831,
2.08016,3.56692,3.56692,
2.08617,3.56553,3.56553,
2.09218,3.56413,3.56413,
2.0982,3.56274,3.56274,
2.10421,3.56135,3.56135,
2.11022,3.55995,3.55995,
2.11623,3.55856,3.55856,
2.12224,3.55717,3.55717,
2.12826,3.55578,3.55578,
2.13427,3.55438,3.55438,
2.14028,3.55299,3.55299,
2.14629,3.5516,3.5516,
2.1523,3.55021,3.55021,
2.15832,3.54881,3.54881,
2.16433,3.54742,3.54742,
2.17034,3.54603,3.54603,
2.17635,3.54463,3.54463,
2.18236,3.54324,3.54324,
2.18838,3.54185,3.54185,
2.19439,3.54046,3.54046,
2.2004,3.53906,3.53906,
2.20641,3.53767,3.53767,
2.21242,3.53628,3.53628,
2.21844,3.53488,3.53488,
2.22445,3.53349,3.53349,
2.23046,3.5321,3.5321,
2.23647,3.53071,3.53071,
2.24248,3.52931,3.52931,
2.2485,3.52792,3.52792,
2.25451,3.52653,3.52653,
2.26052,3.52513,3.52513,
2.26653,3.52374,3.52374,
2.27255,3.52235,3.52235,
2.27414,,3.52198,
2.27856,3.52095,,
2.28457,3.51956,,
2.29058,3.51817,,
2.29659,3.51677,,
2.30261,3.51538,,
2.30862,3.51398,,
2.31463,3.51259,,
2.32064,3.5112,,
2.32665,3.5098,,
2.33267,3.50841,,
2.33868,3.50701,,
2.34469,3.50561,,
2.3507,3.50422,,
2.35671,3.50282,,
2.36273,3.50142,,
2.36874,3.50002,,
2.37475,3.49862,,
2.38076,3.49722,,
2.38677,3.49581,,
2.39279,3.4944,,
2.3988,3.49298,,
2.40481,3.49154,,
2.41082,3.49005,,
2.41683,3.48839,,
2.42285,3.48398,,
2.42389,3.43439,,
2.42394,3.26904,,
