Time [h],Graphite Conc_norm (V_si=0.001),Graphite Conc_norm (V_si=0.04),Graphite Conc_norm (V_si=0.1)
2.17034,,0.00627654,0.0245014
2.17635,,0.00606133,0.0243226
2.18236,,0.00584685,0.0241441
2.18838,,0.00563281,0.0239662
2.19439,,0.00541895,0.0237887
2.2004,,0.00520494,0.023612
2.20641,,0.00499067,0.0234359
2.21242,,0.00477663,0.0232606
2.21844,,0.00456404,0.0230861
2.22445,,0.00435453,0.0229124
2.23046,,0.00414934,0.0227395
2.23647,,0.00394835,0.0225677
2.24248,,0.00375109,0.0223967
2.2485,,0.00355595,0.0222268
2.25451,,0.00336168,0.0220579
2.26052,,0.00316645,0.0218901
2.26653,,0.00296855,0.0217235
2.27255,,0.00276577,0.0215579
2.27414,,0.00271071,
2.27856,,,0.0213936
2.28457,,,0.0212305
2.29058,,,0.0210686
2.29659,,,0.020908
2.30261,,,0.0207487
2.30862,,,0.0205907
2.31463,,,0.0204339
2.32064,,,0.0202785
2.32665,,,0.0201245
2.33267,,,0.0199717
2.33868,,,0.0198203
2.34469,,,0.0196703
2.3507,,,0.0195215
2.35671,,,0.019374
2.36273,,,0.019228
2.36874,,,0.0190832
2.37475,,,0.0189399
2.38076,,,0.0187978
2.38677,,,0.0186571
2.39279,,,0.0185178
2.3988,,,0.0183798
2.40481,,,0.0182431
2.41082,,,0.0181077
2.41683,,,0.0179736
2.42285,,,0.0178408
2.42389,,,0.017818
2.42394,,,0.0178168
