Throughput capacity [A.h],Loss of lithium inventory [%],Loss of active material in negative electrode [%],Loss of active material in positive electrode [%]
3.319170033639306,0.06770432135706983,8.60939718023701e-05,5.121125354889955e-07
3.360836700305971,0.06731592990165325,8.751098941672808e-05,5.121125354889955e-07
3.4025033669726352,0.0669307779099313,8.894144539794979e-05,5.121125354889955e-07
3.4441700336392973,0.06652995994761568,9.038091218371846e-05,5.121125354889955e-07
3.485836700305964,0.0661463849237407,9.181137571090403e-05,5.121125354889955e-07
3.527503366972632,0.06587721013713121,9.324860370441002e-05,5.121125354889955e-07
3.569170033639303,0.06567282230305693,9.469588279387153e-05,5.121125354889955e-07
3.6108367003059727,0.06551039814144133,9.615452560751692e-05,5.121125354889955e-07
3.6525033669726397,0.0653150818269097,9.76266829297856e-05,5.121125354889955e-07
3.6941700336393075,0.06506465908165637,9.911829106101777e-05,5.121125354889955e-07
3.735836700305976,0.0647952213448093,0.00010061231924396452,5.121125354889955e-07
3.7775033669726374,0.06465784807159025,0.00010211105725943526,5.121125354889955e-07
3.8191700336392986,0.06457832454751156,0.00010362315509837572,5.121125354889955e-07
3.8608367003059603,0.06454009485840118,0.00010514588299770367,5.121125354889955e-07
3.9025033669726215,0.06452512823861412,0.00010668081014841846,5.121125354889955e-07
3.944170033639283,0.06457816494003055,0.00010822678578392697,5.121125354889955e-07
3.98583670030595,0.06470691726299549,0.00010978843845066422,5.121125354889955e-07
4.027503366972617,0.06490754984660896,0.00011136433879244123,5.121125354889955e-07
4.069170033639279,0.06511808393544527,0.00011295371277242339,5.121125354889955e-07
4.110836700305939,0.06532542483738268,0.0001145602718253258,5.121125354889955e-07
4.152503366972601,0.06554888488219035,0.00011617267131214248,5.121125354889955e-07
4.194170033639263,0.06576036997471135,0.00011779584640692065,5.121125354889955e-07
4.235836700305926,0.06596757864885205,0.00011942980736989739,5.121125354889955e-07
4.277503366972594,0.06615779291296064,0.00012107783766168723,5.121125354889955e-07
4.319170033639265,0.06631933838768589,0.00012276872251959503,5.121125354889955e-07
4.360836700305935,0.06645145314986678,0.0001244710106078628,5.121125354889955e-07
4.402503366972604,0.06661158445035653,0.00012616205304993855,5.121125354889955e-07
4.444170033639272,0.06679525957088117,0.00012786480257886979,5.121125354889955e-07
4.485836700305939,0.06698819566211967,0.0001295805526666527,5.121125354889955e-07
4.527503366972611,0.06719699511394595,0.00013130889618651054,5.121125354889955e-07
4.569170033639281,0.06741484011230625,0.00013305013106901242,5.121125354889955e-07
4.6108367003059465,0.06763396176013714,0.0001348074134170929,5.121125354889955e-07
4.65250336697261,0.06785475337531466,0.0001365781747182382,5.121125354889955e-07
4.694170033639274,0.06807641279459631,0.00013836188108484748,5.121125354889955e-07
4.735836700305941,0.06829778034564526,0.0001401603806101548,5.121125354889955e-07
4.777503366972607,0.06851866373270354,0.0001419741979589162,5.121125354889955e-07
4.819170033639272,0.0687390465581359,0.00014380515852963072,5.121125354889955e-07
4.860836700305941,0.06895886138089224,0.00014564968512331689,5.121125354889955e-07
4.9025033669726055,0.06917811858772893,0.0001475092011560264,5.121125354889955e-07
4.944170033639269,0.06939681543590837,0.00014938435700173613,5.121125354889955e-07
4.985836700305935,0.06961495446488186,0.00015127574161510893,5.121125354889955e-07
5.027503366972607,0.06983253954493307,0.00015318313094780933,5.121125354889955e-07
5.069170033639275,0.07004921791211416,0.00015510668137608263,5.121125354889955e-07
5.107986370465861,0.07025114048070691,0.0001569138820087801,5.121125354889955e-07
5.107986370465862,0.07025114048070691,0.0001569138820087801,5.121125354889955e-07
5.232986370465893,0.0704694524893057,0.00015691793304029034,2.8389597588329707e-06
5.357986370465887,0.07068736382356633,0.00015691793304029034,5.227862345691392e-06
5.482986370465835,0.0709075006223685,0.00015691793304029034,7.699856155340967e-06
5.60798637046581,0.07115910803470626,0.00015691793304029034,1.0260905952463872e-05
5.732986370465797,0.07160484396069933,0.00015691793304029034,1.2916041214339202e-05
5.857986370465784,0.07256521047449382,0.00015691793304029034,1.5670492757635657e-05
